year,Radiation risk (named),Delay-to-scan (time-to-CT),Risk of NOT scanning (named concept),search_date
2000,0,0,0,2026-06-03
2001,1,4,0,2026-06-03
2002,3,0,0,2026-06-03
2003,1,3,0,2026-06-03
2004,2,4,0,2026-06-03
2005,4,2,0,2026-06-03
2006,4,4,0,2026-06-03
2007,8,5,0,2026-06-03
2008,19,6,0,2026-06-03
2009,12,6,0,2026-06-03
2010,25,6,0,2026-06-03
2011,17,7,0,2026-06-03
2012,27,7,0,2026-06-03
2013,26,9,0,2026-06-03
2014,40,11,0,2026-06-03
2015,27,14,0,2026-06-03
2016,16,21,0,2026-06-03
2017,27,18,0,2026-06-03
2018,37,14,0,2026-06-03
2019,25,24,0,2026-06-03
2020,43,23,0,2026-06-03
2021,37,27,0,2026-06-03
2022,37,26,0,2026-06-03
2023,32,16,0,2026-06-03
2024,38,30,0,2026-06-03
2025,36,35,0,2026-06-03
