year,Overuse / low-value / appropriateness,Incidental findings / overdiagnosis,Cumulative / recurrent dose,Benefit / yield quantification,search_date
2000,71,16,7,11,2026-06-10
2001,62,17,8,11,2026-06-10
2002,72,19,2,9,2026-06-10
2003,78,27,11,6,2026-06-10
2004,78,29,8,13,2026-06-10
2005,92,26,8,8,2026-06-10
2006,108,40,11,16,2026-06-10
2007,119,47,25,17,2026-06-10
2008,144,60,30,23,2026-06-10
2009,156,73,21,23,2026-06-10
2010,186,91,29,38,2026-06-10
2011,219,89,32,49,2026-06-10
2012,240,95,48,52,2026-06-10
2013,267,125,47,51,2026-06-10
2014,323,153,57,65,2026-06-10
2015,314,191,52,66,2026-06-10
2016,308,163,44,51,2026-06-10
2017,341,189,45,72,2026-06-10
2018,345,204,53,77,2026-06-10
2019,367,189,47,64,2026-06-10
2020,475,252,57,65,2026-06-10
2021,475,281,64,93,2026-06-10
2022,474,283,47,76,2026-06-10
2023,426,273,49,78,2026-06-10
2024,515,270,58,77,2026-06-10
2025,744,274,75,108,2026-06-10
