scan,sex,age,n_scans,cum_dose_mSv,cum_LAR,cum_LAR_pct,cum_LAR_one_in
Head CT,F,20,1,2.1,0.00022935779816513763,0.023,4360
Head CT,F,20,2,4.2,0.00045871559633027525,0.046,2180
Head CT,F,20,3,6.3,0.0006880733944954129,0.069,1453
Head CT,F,20,4,8.4,0.0009174311926605505,0.092,1090
Head CT,F,20,5,10.5,0.0011467889908256881,0.115,872
Head CT,F,20,6,12.6,0.0013761467889908258,0.138,727
Head CT,F,20,7,14.7,0.0016055045871559634,0.161,623
Head CT,F,20,8,16.8,0.001834862385321101,0.183,545
Head CT,F,20,9,18.9,0.0020642201834862386,0.206,484
Head CT,F,20,10,21.0,0.0022935779816513763,0.229,436
Head CT,F,20,11,23.1,0.002522935779816514,0.252,396
Head CT,F,20,12,25.2,0.0027522935779816515,0.275,363
Head CT,F,20,13,27.3,0.002981651376146789,0.298,335
Head CT,F,20,14,29.4,0.003211009174311927,0.321,311
Head CT,F,20,15,31.5,0.0034403669724770644,0.344,291
Head CT,F,20,16,33.6,0.003669724770642202,0.367,272
Head CT,F,20,17,35.7,0.0038990825688073397,0.39,256
Head CT,F,20,18,37.8,0.004128440366972477,0.413,242
Head CT,F,20,19,39.9,0.004357798165137615,0.436,229
Head CT,F,20,20,42.0,0.0045871559633027525,0.459,218
Head CT,F,20,21,44.1,0.00481651376146789,0.482,208
Head CT,F,20,22,46.2,0.005045871559633028,0.505,198
Head CT,F,20,23,48.3,0.005275229357798165,0.528,190
Head CT,F,20,24,50.4,0.005504587155963303,0.55,182
Head CT,F,20,25,52.5,0.005733944954128441,0.573,174
Head CT,F,20,26,54.6,0.005963302752293578,0.596,168
Head CT,F,20,27,56.7,0.006192660550458716,0.619,161
Head CT,F,20,28,58.8,0.006422018348623854,0.642,156
Head CT,F,20,29,60.9,0.006651376146788991,0.665,150
Head CT,F,20,30,63.0,0.006880733944954129,0.688,145
Head CT,F,40,1,2.1,0.0001234567901234568,0.012,8100
Head CT,F,40,2,4.2,0.0002469135802469136,0.025,4050
Head CT,F,40,3,6.3,0.0003703703703703704,0.037,2700
Head CT,F,40,4,8.4,0.0004938271604938272,0.049,2025
Head CT,F,40,5,10.5,0.0006172839506172839,0.062,1620
Head CT,F,40,6,12.6,0.0007407407407407408,0.074,1350
Head CT,F,40,7,14.7,0.0008641975308641976,0.086,1157
Head CT,F,40,8,16.8,0.0009876543209876543,0.099,1012
Head CT,F,40,9,18.9,0.0011111111111111111,0.111,900
Head CT,F,40,10,21.0,0.0012345679012345679,0.123,810
Head CT,F,40,11,23.1,0.0013580246913580246,0.136,736
Head CT,F,40,12,25.2,0.0014814814814814816,0.148,675
Head CT,F,40,13,27.3,0.0016049382716049384,0.16,623
Head CT,F,40,14,29.4,0.0017283950617283952,0.173,579
Head CT,F,40,15,31.5,0.001851851851851852,0.185,540
Head CT,F,40,16,33.6,0.0019753086419753087,0.198,506
Head CT,F,40,17,35.7,0.0020987654320987655,0.21,476
Head CT,F,40,18,37.8,0.0022222222222222222,0.222,450
Head CT,F,40,19,39.9,0.002345679012345679,0.235,426
Head CT,F,40,20,42.0,0.0024691358024691358,0.247,405
Head CT,F,40,21,44.1,0.0025925925925925925,0.259,386
Head CT,F,40,22,46.2,0.0027160493827160493,0.272,368
Head CT,F,40,23,48.3,0.002839506172839506,0.284,352
Head CT,F,40,24,50.4,0.0029629629629629632,0.296,338
Head CT,F,40,25,52.5,0.00308641975308642,0.309,324
Head CT,F,40,26,54.6,0.0032098765432098768,0.321,312
Head CT,F,40,27,56.7,0.0033333333333333335,0.333,300
Head CT,F,40,28,58.8,0.0034567901234567903,0.346,289
Head CT,F,40,29,60.9,0.003580246913580247,0.358,279
Head CT,F,40,30,63.0,0.003703703703703704,0.37,270
Head CT,F,60,1,2.1,8.163265306122449e-05,0.008,12250
Head CT,F,60,2,4.2,0.00016326530612244898,0.016,6125
Head CT,F,60,3,6.3,0.00024489795918367346,0.024,4083
Head CT,F,60,4,8.4,0.00032653061224489796,0.033,3062
Head CT,F,60,5,10.5,0.00040816326530612246,0.041,2450
Head CT,F,60,6,12.6,0.0004897959183673469,0.049,2042
Head CT,F,60,7,14.7,0.0005714285714285715,0.057,1750
Head CT,F,60,8,16.8,0.0006530612244897959,0.065,1531
Head CT,F,60,9,18.9,0.0007346938775510204,0.073,1361
Head CT,F,60,10,21.0,0.0008163265306122449,0.082,1225
Head CT,F,60,11,23.1,0.0008979591836734694,0.09,1114
Head CT,F,60,12,25.2,0.0009795918367346938,0.098,1021
Head CT,F,60,13,27.3,0.0010612244897959184,0.106,942
Head CT,F,60,14,29.4,0.001142857142857143,0.114,875
Head CT,F,60,15,31.5,0.0012244897959183673,0.122,817
Head CT,F,60,16,33.6,0.0013061224489795918,0.131,766
Head CT,F,60,17,35.7,0.0013877551020408164,0.139,721
Head CT,F,60,18,37.8,0.0014693877551020407,0.147,681
Head CT,F,60,19,39.9,0.0015510204081632653,0.155,645
Head CT,F,60,20,42.0,0.0016326530612244899,0.163,612
Head CT,F,60,21,44.1,0.0017142857142857142,0.171,583
Head CT,F,60,22,46.2,0.0017959183673469388,0.18,557
Head CT,F,60,23,48.3,0.0018775510204081633,0.188,533
Head CT,F,60,24,50.4,0.0019591836734693877,0.196,510
Head CT,F,60,25,52.5,0.0020408163265306124,0.204,490
Head CT,F,60,26,54.6,0.0021224489795918368,0.212,471
Head CT,F,60,27,56.7,0.002204081632653061,0.22,454
Head CT,F,60,28,58.8,0.002285714285714286,0.229,438
Head CT,F,60,29,60.9,0.0023673469387755102,0.237,422
Head CT,F,60,30,63.0,0.0024489795918367346,0.245,408
Head CT,M,20,1,2.1,0.00013605442176870748,0.014,7350
Head CT,M,20,2,4.2,0.00027210884353741496,0.027,3675
Head CT,M,20,3,6.3,0.00040816326530612246,0.041,2450
Head CT,M,20,4,8.4,0.0005442176870748299,0.054,1838
Head CT,M,20,5,10.5,0.0006802721088435374,0.068,1470
Head CT,M,20,6,12.6,0.0008163265306122449,0.082,1225
Head CT,M,20,7,14.7,0.0009523809523809524,0.095,1050
Head CT,M,20,8,16.8,0.0010884353741496598,0.109,919
Head CT,M,20,9,18.9,0.0012244897959183673,0.122,817
Head CT,M,20,10,21.0,0.0013605442176870747,0.136,735
Head CT,M,20,11,23.1,0.0014965986394557822,0.15,668
Head CT,M,20,12,25.2,0.0016326530612244899,0.163,612
Head CT,M,20,13,27.3,0.0017687074829931973,0.177,565
Head CT,M,20,14,29.4,0.0019047619047619048,0.19,525
Head CT,M,20,15,31.5,0.002040816326530612,0.204,490
Head CT,M,20,16,33.6,0.0021768707482993197,0.218,459
Head CT,M,20,17,35.7,0.0023129251700680273,0.231,432
Head CT,M,20,18,37.8,0.0024489795918367346,0.245,408
Head CT,M,20,19,39.9,0.0025850340136054422,0.259,387
Head CT,M,20,20,42.0,0.0027210884353741495,0.272,368
Head CT,M,20,21,44.1,0.002857142857142857,0.286,350
Head CT,M,20,22,46.2,0.0029931972789115644,0.299,334
Head CT,M,20,23,48.3,0.003129251700680272,0.313,320
Head CT,M,20,24,50.4,0.0032653061224489797,0.327,306
Head CT,M,20,25,52.5,0.003401360544217687,0.34,294
Head CT,M,20,26,54.6,0.0035374149659863946,0.354,283
Head CT,M,20,27,56.7,0.003673469387755102,0.367,272
Head CT,M,20,28,58.8,0.0038095238095238095,0.381,262
Head CT,M,20,29,60.9,0.003945578231292517,0.395,253
Head CT,M,20,30,63.0,0.004081632653061224,0.408,245
Head CT,M,40,1,2.1,9.025270758122743e-05,0.009,11080
Head CT,M,40,2,4.2,0.00018050541516245486,0.018,5540
Head CT,M,40,3,6.3,0.0002707581227436823,0.027,3693
Head CT,M,40,4,8.4,0.00036101083032490973,0.036,2770
Head CT,M,40,5,10.5,0.00045126353790613715,0.045,2216
Head CT,M,40,6,12.6,0.0005415162454873646,0.054,1847
Head CT,M,40,7,14.7,0.000631768953068592,0.063,1583
Head CT,M,40,8,16.8,0.0007220216606498195,0.072,1385
Head CT,M,40,9,18.9,0.0008122743682310469,0.081,1231
Head CT,M,40,10,21.0,0.0009025270758122743,0.09,1108
Head CT,M,40,11,23.1,0.0009927797833935018,0.099,1007
Head CT,M,40,12,25.2,0.0010830324909747292,0.108,923
Head CT,M,40,13,27.3,0.0011732851985559567,0.117,852
Head CT,M,40,14,29.4,0.001263537906137184,0.126,791
Head CT,M,40,15,31.5,0.0013537906137184115,0.135,739
Head CT,M,40,16,33.6,0.001444043321299639,0.144,692
Head CT,M,40,17,35.7,0.0015342960288808663,0.153,652
